cvegeo,entidad,nom_ent,mun,nom_mun,loc,nom_loc,latitud_decimal,longitud_decimal,altitud,pobtot,jovenes,productivos,dependientes_economicos,ancianos,tamloc,longitud,latitud,pobfem,pobmas,p_0a2,p_0a2_f,p_0a2_m,p_3ymas,p_3ymas_f,p_3ymas_m,p_5ymas,p_5ymas_f,p_5ymas_m,p_12ymas,p_12ymas_f,p_12ymas_m,p_15ymas,p_15ymas_f,p_15ymas_m,p_18ymas,p_18ymas_f,p_18ymas_m,p_3a5,p_3a5_f,p_3a5_m,p_6a11,p_6a11_f,p_6a11_m,p_8a14,p_8a14_f,p_8a14_m,p_12a14,p_12a14_f,p_12a14_m,p_15a17,p_15a17_f,p_15a17_m,p_18a24,p_18a24_f,p_18a24_m,p_15a49_f,p_60ymas,p_60ymas_f,p_60ymas_m,rel_h_m,pob0_14,pob15_64,pob65_mas,p_0a4,p_0a4_f,p_0a4_m,p_5a9,p_5a9_f,p_5a9_m,p_10a14,p_10a14_f,p_10a14_m,p_15a19,p_15a19_f,p_15a19_m,p_20a24,p_20a24_f,p_20a24_m,p_25a29,p_25a29_f,p_25a29_m,p_30a34,p_30a34_f,p_30a34_m,p_35a39,p_35a39_f,p_35a39_m,p_40a44,p_40a44_f,p_40a44_m,p_45a49,p_45a49_f,p_45a49_m,p_50a54,p_50a54_f,p_50a54_m,p_55a59,p_55a59_f,p_55a59_m,p_60a64,p_60a64_f,p_60a64_m,p_65a69,p_65a69_f,p_65a69_m,p_70a74,p_70a74_f,p_70a74_m,p_75a79,p_75a79_f,p_75a79_m,p_80a84,p_80a84_f,p_80a84_m,p_85ymas,p_85ymas_f,p_85ymas_m,prom_hnv,pnacent,pnacent_f,pnacent_m,pnacoe,pnacoe_f,pnacoe_m,pres2015,pres2015_f,pres2015_m,presoe15,presoe15_f,presoe15_m,p3ym_hli,p3ym_hli_f,p3ym_hli_m,p3hlinhe,p3hlinhe_f,p3hlinhe_m,p3hli_he,p3hli_he_f,p3hli_he_m,p5_hli,p5_hli_nhe,p5_hli_he,phog_ind,pob_afro,pob_afro_f,pob_afro_m,pcon_disc,pcdisc_mot,pcdisc_vis,pcdisc_leng,pcdisc_aud,pcdisc_mot2,pcdisc_men,pcon_limi,pclim_csb,pclim_vis,pclim_haco,pclim_oaud,pclim_mot2,pclim_re_co,pclim_pmen,psind_lim,p3a5_noa,p3a5_noa_f,p3a5_noa_m,p6a11_noa,p6a11_noaf,p6a11_noam,p12a14noa,p12a14noaf,p12a14noam,p15a17a,p15a17a_f,p15a17a_m,p18a24a,p18a24a_f,p18a24a_m,p8a14an,p8a14an_f,p8a14an_m,p15ym_an,p15ym_an_f,p15ym_an_m,p15ym_se,p15ym_se_f,p15ym_se_m,p15pri_in,p15pri_inf,p15pri_inm,p15pri_co,p15pri_cof,p15pri_com,p15sec_in,p15sec_inf,p15sec_inm,p15sec_co,p15sec_cof,p15sec_com,p18ym_pb,p18ym_pb_f,p18ym_pb_m,graproes,graproes_f,graproes_m,pea,pea_f,pea_m,pe_inac,pe_inac_f,pe_inac_m,pocupada,pocupada_f,pocupada_m,pdesocup,pdesocup_f,pdesocup_m,psinder,pder_ss,pder_imss,pder_iste,pder_istee,pafil_pdom,pder_segp,pder_imssb,pafil_ipriv,pafil_otrai,p12ym_solt,p12ym_casa,p12ym_sepa,pcatolica,pro_crieva,potras_rel,psin_relig,tothog,hogjef_f,hogjef_m,pobhog,phogjef_f,phogjef_m,vivtot,tvivhab,tvivpar,vivpar_hab,vivparh_cv,tvivparhab,vivpar_des,vivpar_ut,ocupvivpar,prom_ocup,pro_ocup_c,vph_pisodt,vph_pisoti,vph_1dor,vph_2ymasd,vph_1cuart,vph_2cuart,vph_3ymasc,vph_c_elec,vph_s_elec,vph_aguadv,vph_aeasp,vph_aguafv,vph_tinaco,vph_cister,vph_excsa,vph_letr,vph_drenaj,vph_nodren,vph_c_serv,vph_ndeaed,vph_dsadma,vph_ndacmm,vph_snbien,vph_refri,vph_lavad,vph_hmicro,vph_autom,vph_moto,vph_bici,vph_radio,vph_tv,vph_pc,vph_telef,vph_cel,vph_inter,vph_stvp,vph_spmvpi,vph_cvj,vph_sinrtv,vph_sinltc,vph_sincint,vph_sintic
170010001,17,Morelos,1,Amacuzac,1,Amacuzac,18.600002,-99.369514,900,5575,1376,3645,1930,554,6," 99Ã‚Â°22'10.251"" W","18Ã‚Â°36'00.006"" N",2925,2650,216,118,98,5359,2807,2552,5140,2699,2441,4499,2390,2109,4199,2249,1950,3905,2096,1809,340,161,179,520,256,264,622,307,315,300,141,159,294,153,141,665,337,328,1495,793,441,352,90.6,1376,3645,554,435,226,209,480,228,252,461,222,239,492,255,237,467,235,232,373,180,193,429,244,185,316,174,142,371,215,156,374,192,182,304,154,150,280,159,121,239,127,112,190,102,88,115,67,48,110,67,43,74,39,35,65,39,26,2.15,4441,2305,2136,1092,602,490,4960,2601,2359,171,96,75,11,8,3,0,0,0,11,8,3,11,0,11,33,30,15,15,346,175,157,48,78,54,60,723,238,458,36,142,24,142,61,4482,102,46,56,20,8,12,30,9,21,227,118,109,217,108,109,11,5,6,185,123,62,215,132,83,318,178,140,514,289,225,117,56,61,1070,561,509,1820,952,868,9.71,9.57,9.88,2693,1117,1576,1800,1269,531,2646,1106,1540,47,11,36,1028,4547,1306,891,39,24,2289,2,20,10,1484,2349,666,4559,556,0,458,1628,569,1059,5572,1770,3802,2162,1629,2098,1565,1619,1628,457,76,5572,3.42,0.95,1566,52,578,1040,123,305,1190,1614,4,1601,1487,17,1309,930,1573,24,1577,41,1563,0,1572,921,11,1491,1043,610,627,180,114,947,1452,486,704,1442,811,835,164,80,90,83,741,22
170010002,17,Morelos,1,Amacuzac,2,Cajones,18.575951,-99.346702,894,553,169,326,227,58,3," 99Ã‚Â°20'48.128"" W","18Ã‚Â°34'33.424"" N",275,278,31,15,16,522,260,262,501,245,256,422,213,209,384,192,192,352,180,172,36,22,14,64,25,39,83,39,44,38,21,17,32,12,20,55,28,27,131,80,39,41,101.09,169,326,58,52,30,22,56,22,34,61,31,30,50,20,30,37,20,17,48,23,25,42,22,20,21,12,9,30,16,14,32,18,14,21,10,11,23,12,11,22,12,10,26,11,15,17,7,10,6,3,3,6,3,3,3,3,0,2.93,358,178,180,183,93,90,472,234,238,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,12,4,5,8,4,63,33,27,9,6,5,10,6,462,23,16,7,2,1,1,7,3,4,12,5,7,9,3,6,1,0,1,44,25,19,36,19,17,80,44,36,73,33,40,10,6,4,118,60,58,59,28,31,6.89,6.72,7.05,175,40,135,245,172,73,161,39,122,14,1,13,74,479,32,16,1,7,424,0,0,0,133,227,62,457,51,0,45,151,55,96,553,187,366,266,151,266,151,151,151,104,11,553,3.66,1.25,143,8,50,101,20,42,89,149,2,146,55,5,100,24,131,13,131,20,131,1,130,99,4,130,82,37,46,16,4,84,122,24,45,122,39,27,3,3,21,19,104,8
170010003,17,Morelos,1,Amacuzac,3,Casahuatlán,18.573393,-99.385982,949,1915,574,1142,773,199,4," 99Ã‚Â°23'09.536"" W","18Ã‚Â°34'24.213"" N",993,922,111,47,64,1804,946,858,1716,900,816,1439,761,678,1341,708,633,1216,649,567,141,75,66,224,110,114,239,120,119,98,53,45,125,59,66,233,118,115,481,262,139,123,92.85,574,1142,199,199,93,106,215,109,106,160,83,77,193,97,96,165,80,85,132,69,63,116,70,46,123,66,57,96,47,49,93,52,41,88,48,40,73,40,33,63,32,31,59,30,29,46,25,21,41,21,20,27,17,10,26,14,12,3.04,1178,585,593,720,399,321,1635,856,779,70,42,28,5,0,5,0,0,0,5,0,5,5,0,5,19,2,1,1,138,88,53,26,39,25,34,216,89,134,11,51,6,24,33,1552,67,35,32,10,6,4,14,8,6,80,36,44,28,15,13,10,7,3,211,134,77,186,114,72,195,110,85,213,104,109,44,25,19,403,205,198,248,121,127,7.02,6.76,7.31,862,340,522,574,421,153,855,338,517,7,2,5,320,1595,194,65,0,14,1314,4,6,0,423,798,218,1462,258,0,194,504,192,312,1915,615,1300,717,504,699,486,501,504,208,5,1915,3.8,1.2,441,60,224,277,63,119,319,497,4,489,192,12,364,376,452,29,456,45,446,1,451,360,16,439,219,104,122,35,33,278,398,54,146,400,123,72,5,4,67,66,365,19
170010004,17,Morelos,1,Amacuzac,4,Coahuixtla,18.574083,-99.369093,914,1151,322,704,447,125,4," 99Ã‚Â°22'08.736"" W","18Ã‚Â°34'26.698"" N",592,559,52,21,31,1099,571,528,1051,545,506,893,462,431,829,433,396,741,385,356,73,40,33,133,69,64,153,75,78,64,29,35,88,48,40,125,64,61,290,174,90,84,94.43,322,704,125,100,47,53,116,59,57,106,53,53,124,65,59,89,47,42,70,34,36,81,44,37,71,40,31,71,36,35,51,24,27,44,23,21,54,30,24,49,31,18,40,15,25,29,18,11,18,10,8,13,6,7,25,10,15,2.67,864,432,432,275,154,121,1022,526,496,23,19,4,1,1,0,0,0,0,1,1,0,1,0,1,0,33,17,16,68,44,26,8,13,13,12,126,59,73,11,25,3,29,14,949,36,21,15,20,9,11,9,4,5,64,32,32,22,11,11,3,1,2,83,51,32,89,52,37,89,47,42,169,92,77,22,14,8,271,135,136,148,74,74,7.46,7.28,7.66,408,122,286,480,339,141,401,122,279,7,0,7,188,963,134,28,0,15,785,1,1,0,287,494,112,822,195,0,134,314,100,214,1151,350,801,493,314,479,300,311,314,170,9,1151,3.67,1.14,303,8,112,199,19,73,219,309,2,308,217,3,260,179,298,4,300,11,298,1,300,235,5,285,177,55,58,26,18,188,260,40,128,238,99,61,3,3,29,39,200,11
170010005,17,Morelos,1,Amacuzac,5,Huajintlán,18.60975,-99.424167,926,1788,460,1098,690,230,4," 99Ã‚Â°25'27.001"" W","18Ã‚Â°36'35.101"" N",922,866,69,43,26,1719,879,840,1651,853,798,1430,747,683,1328,700,628,1249,668,581,104,46,58,185,86,99,216,98,118,102,47,55,79,32,47,184,97,87,430,311,168,143,93.93,460,1098,230,137,69,68,163,80,83,160,73,87,141,64,77,122,65,57,118,63,55,121,60,61,112,55,57,103,57,46,117,66,51,91,51,40,92,51,41,81,42,39,79,44,35,35,20,15,48,27,21,33,17,16,35,18,17,2.54,1505,769,736,264,145,119,1603,830,773,40,20,20,2,2,0,0,0,0,2,2,0,2,0,2,6,2,1,1,108,57,41,20,30,20,26,252,89,166,18,70,11,42,21,1423,33,9,24,4,0,4,4,0,4,54,22,32,70,37,33,2,1,1,59,39,20,64,38,26,117,61,56,194,113,81,46,21,25,436,219,217,431,230,201,8.93,8.9,8.96,796,319,477,629,427,202,791,319,472,5,0,5,224,1562,334,199,7,1,1024,2,2,0,436,759,235,1545,129,0,113,516,170,346,1788,512,1276,714,516,708,510,516,516,170,28,1788,3.47,1.09,498,18,193,323,31,136,349,514,2,494,436,22,403,283,504,4,505,11,485,0,503,346,7,471,275,136,160,24,55,285,445,101,181,411,177,219,20,10,40,56,321,20
170010006,17,Morelos,1,Amacuzac,6,Miahuatlán (El Cuiji),18.588871,-99.350691,887,561,161,336,225,64,3," 99Ã‚Â°21'02.489"" W","18Ã‚Â°35'19.936"" N",272,289,34,14,20,527,258,269,503,244,259,430,216,214,400,197,203,370,179,191,38,16,22,59,26,33,71,35,36,30,19,11,30,18,12,66,32,34,138,85,34,51,106.25,161,336,64,58,28,30,59,24,35,44,23,21,48,28,20,48,22,26,38,24,14,39,17,22,32,19,13,35,16,19,28,12,16,22,11,11,25,14,11,21,9,12,21,9,12,16,5,11,11,5,6,6,2,4,10,4,6,2.68,436,208,228,122,62,60,483,236,247,19,8,11,1,1,0,0,0,0,1,1,0,1,0,1,4,0,0,0,43,19,21,10,9,8,7,95,37,55,4,23,1,9,8,422,23,11,12,1,1,0,8,4,4,18,7,11,9,3,6,4,1,3,49,22,27,47,21,26,53,21,32,86,51,35,8,5,3,123,63,60,68,29,39,7.11,7.16,7.07,281,99,182,149,117,32,278,99,179,3,0,3,65,496,99,13,0,13,371,0,1,0,108,285,37,366,131,0,64,148,21,127,561,68,493,199,148,192,141,146,148,46,5,561,3.79,1.27,140,6,61,85,14,35,97,143,3,144,10,2,104,112,124,13,125,21,124,1,124,81,4,135,84,21,46,36,12,79,103,17,51,106,45,50,3,4,27,27,95,12
170010007,17,Morelos,1,Amacuzac,7,Rancho Nuevo,18.547886,-99.368617,983,840,236,510,330,94,3," 99Ã‚Â°22'07.021"" W","18Ã‚Â°32'52.390"" N",446,394,41,22,19,799,424,375,763,407,356,641,340,301,604,324,280,555,295,260,66,34,32,92,50,42,99,51,48,37,16,21,49,29,20,106,51,55,211,133,71,62,88.34,236,510,94,77,39,38,94,53,41,65,30,35,83,48,35,72,32,40,58,39,19,44,20,24,49,23,26,48,25,23,43,24,19,42,26,16,32,16,16,39,22,17,26,12,14,21,13,8,16,7,9,13,6,7,18,11,7,3.24,481,250,231,346,190,156,707,375,332,47,28,19,1,1,0,0,0,0,1,1,0,1,0,1,2,3,1,2,57,33,26,14,13,19,17,107,50,66,3,29,6,26,5,674,29,17,12,7,5,2,7,7,0,38,23,15,17,9,8,4,2,2,108,63,45,90,50,40,100,57,43,118,56,62,21,7,14,164,93,71,84,41,43,6.51,6.51,6.5,270,55,215,364,284,80,253,55,198,17,0,17,79,761,26,3,0,1,731,0,1,0,168,386,87,703,104,0,33,231,94,137,840,340,500,355,231,340,216,231,231,109,15,840,3.64,1.4,218,13,81,150,27,95,109,229,2,225,131,6,159,73,192,24,195,36,194,2,189,195,5,210,119,33,33,6,10,121,188,13,82,164,57,40,4,3,24,40,174,10
170010008,17,Morelos,1,Amacuzac,8,San Gabriel las Palmas,18.615218,-99.346061,909,2955,764,1859,1096,332,5," 99Ã‚Â°20'45.818"" W","18Ã‚Â°36'54.784"" N",1545,1410,144,78,66,2811,1467,1344,2697,1410,1287,2346,1238,1108,2191,1163,1028,2039,1092,947,177,84,93,288,145,143,343,172,171,155,75,80,152,71,81,333,173,160,737,446,248,198,91.26,764,1859,332,258,135,123,261,123,138,245,124,121,254,122,132,231,122,109,214,106,108,206,123,83,168,79,89,178,96,82,176,89,87,158,94,64,160,84,76,114,61,53,102,62,40,83,41,42,60,31,29,38,25,13,49,28,21,2.37,2443,1262,1181,495,273,222,2637,1378,1259,41,25,16,7,4,3,0,0,0,7,4,3,7,0,7,23,23,10,13,128,70,54,24,38,29,32,369,161,234,27,70,19,59,15,2450,94,40,54,30,12,18,37,16,21,97,42,55,77,41,36,2,2,0,127,86,41,156,96,60,168,87,81,319,179,140,32,16,16,738,371,367,697,375,322,8.85,8.77,8.94,1111,396,715,1228,836,392,1088,392,696,23,4,19,169,2782,769,169,1,10,1667,7,62,121,680,1274,390,2007,501,0,444,862,334,528,2955,1077,1878,1095,862,1037,804,862,862,178,55,2955,3.43,1.05,834,28,279,583,90,170,602,860,2,857,814,5,606,136,844,2,856,6,852,1,843,527,17,801,575,268,270,123,86,512,756,171,309,664,360,296,53,12,89,155,479,46
170010009,17,Morelos,1,Amacuzac,9,Teacalco,18.618381,-99.454163,969,711,184,432,279,95,3," 99Ã‚Â°27'14.987"" W","18Ã‚Â°37'06.173"" N",376,335,41,23,18,670,353,317,643,339,304,566,296,270,527,283,244,498,267,231,44,24,20,60,33,27,75,33,42,39,13,26,29,16,13,77,40,37,175,128,69,59,89.1,184,432,95,68,37,31,61,34,27,55,22,33,45,26,19,61,30,31,58,30,28,44,28,16,36,17,19,36,21,15,40,23,17,42,20,22,37,19,18,33,14,19,24,15,9,29,15,14,21,13,8,16,9,7,5,3,2,2.56,532,268,264,171,102,69,619,325,294,24,14,10,2,0,2,0,0,0,2,0,2,2,0,2,6,2,1,1,37,20,19,12,16,13,11,68,28,52,15,30,13,18,6,603,18,10,8,1,0,1,2,0,2,23,12,11,17,8,9,4,2,2,42,28,14,45,29,16,29,18,11,126,68,58,5,3,2,165,83,82,146,76,70,8.34,8.08,8.64,302,108,194,261,186,75,297,107,190,5,1,4,166,545,143,25,0,3,368,6,0,0,148,350,68,629,39,0,43,215,62,153,711,174,537,336,215,329,208,215,215,83,38,711,3.31,1,209,6,72,143,14,41,160,212,3,212,195,3,176,107,211,2,214,1,210,0,211,145,2,196,119,39,64,8,13,98,185,27,87,158,89,107,11,3,16,29,125,8
170010010,17,Morelos,1,Amacuzac,10,Zoquital,18.529818,-99.358252,1117,152,49,91,61,12,1," 99Ã‚Â°21'29.709"" W","18Ã‚Â°31'47.346"" N",85,67,7,3,4,145,82,63,138,78,60,109,61,48,103,58,45,93,52,41,11,6,5,25,15,10,19,10,9,6,3,3,10,6,4,14,9,5,42,15,8,7,78.82,49,91,12,14,7,7,20,13,7,15,7,8,15,10,5,9,5,4,16,9,7,7,3,4,14,10,4,5,2,3,6,3,3,6,2,4,10,6,4,3,1,2,2,1,1,4,3,1,4,3,1,1,0,1,1,0,1,2.75,115,62,53,36,23,13,136,76,60,2,2,0,3,3,0,0,0,0,3,3,0,3,0,3,9,1,0,1,6,3,3,2,3,2,2,10,4,3,0,5,0,1,4,132,3,2,1,1,0,1,1,0,1,10,6,4,1,0,1,0,0,0,12,10,2,12,8,4,22,12,10,23,13,10,8,3,5,26,14,12,7,5,2,6.16,6.03,6.31,68,26,42,41,35,6,68,26,42,0,0,0,8,144,11,1,0,0,132,0,0,0,29,69,11,79,55,0,18,36,14,22,152,54,98,48,36,48,36,36,36,12,0,152,4.22,1.46,33,3,9,27,2,16,18,36,0,34,0,2,22,32,13,17,19,17,19,0,13,29,0,34,19,5,6,2,2,19,25,2,0,32,1,1,0,0,7,4,34,2
